stamp,module,elapsed_ms
1657065602.428275,1.1_ros_callback_total,0.269
1657065602.428275,1.2_imu_integration,0.090
1657065602.428275,1.2_pointcloud_deskew,0.009
1657065602.428275,1.2_covariance_estimation,0.160
1657065602.428275,1.2_create_factors,0.557
1657065602.428275,1.2_smoother_update,3.591
1657065602.428275,1.3_gnss_injection,0.349
1657065602.428275,1.2_update_frames_calculate_estimate,0.009
1657065602.428275,1.2_update_frames_state_copy,0.005
1657065602.428275,1.2_update_frames_sigma_p,0.022
1657065602.428275,1.2_update_frames_icp_quality,0.210
1657065602.428275,1.2_update_frames,0.383
1657065602.404294,2.1_gnss_araim,0.640
1657065602.428275,2.2_lidar_araim,0.018
1657065602.428275,2.3_dynamic_al,0.000
1657065602.428275,2.3_state_machine,0.018
1657065602.428275,2.3_integrity_total,0.747
1657065602.428275,1.2_odom_insert_frame,6.675
1657065602.528270,1.1_pointcloud_extract,0.003
1657065602.528270,1.1_cloud_preprocess,0.217
1657065602.528270,1.1_ros_callback_total,0.277
1657065602.528270,1.2_imu_integration,0.092
1657065602.528270,1.2_pointcloud_deskew,0.010
1657065602.528270,1.2_covariance_estimation,0.275
1657065602.528270,1.2_create_factors,0.199
1657065602.528270,1.2_smoother_update,3.043
1657065602.528270,1.3_gnss_injection,0.252
1657065602.528270,1.2_update_frames_calculate_estimate,0.008
1657065602.528270,1.2_update_frames_state_copy,0.004
1657065602.528270,1.2_update_frames_sigma_p,0.039
1657065602.528270,1.2_update_frames_icp_quality,0.167
1657065602.528270,1.2_update_frames,0.325
1657065602.504318,2.1_gnss_araim,0.659
1657065602.528270,2.2_lidar_araim,0.017
1657065602.528270,2.3_dynamic_al,0.000
1657065602.528270,2.3_state_machine,0.015
1657065602.528270,2.3_integrity_total,0.760
1657065602.528270,1.2_odom_insert_frame,5.649
1657065602.628261,1.1_pointcloud_extract,0.004
1657065602.628261,1.1_cloud_preprocess,0.211
1657065602.628261,1.1_ros_callback_total,0.267
1657065602.628261,1.2_imu_integration,0.077
1657065602.628261,1.2_pointcloud_deskew,0.009
1657065602.628261,1.2_covariance_estimation,0.085
1657065602.628261,1.2_create_factors,0.200
1657065602.628261,1.2_smoother_update,0.799
1657065602.628261,1.3_gnss_injection,0.260
1657065602.628261,1.2_update_frames_calculate_estimate,0.009
1657065602.628261,1.2_update_frames_state_copy,0.004
1657065602.628261,1.2_update_frames_sigma_p,0.041
1657065602.628261,1.2_update_frames_icp_quality,0.266
1657065602.628261,1.2_update_frames,0.523
1657065602.604275,2.1_gnss_araim,0.656
1657065602.628261,2.2_lidar_araim,0.017
1657065602.628261,2.3_dynamic_al,0.000
1657065602.628261,2.3_state_machine,0.016
1657065602.628261,2.3_integrity_total,0.756
1657065602.628261,1.2_odom_insert_frame,3.376
1657065602.728272,1.1_pointcloud_extract,0.004
1657065602.728272,1.1_cloud_preprocess,0.228
1657065602.728272,1.1_ros_callback_total,0.298
1657065602.728272,1.2_imu_integration,0.092
