stamp,module,elapsed_ms
1657065604.132231,1.1_cloud_preprocess,1.420
1657065604.132231,1.1_ros_callback_total,1.519
1657065604.132231,1.2_imu_integration,0.127
1657065604.132231,1.2_pointcloud_deskew,0.039
1657065604.132231,1.2_covariance_estimation,0.700
1657065604.132231,1.2_create_factors,0.015
1657065604.132231,1.2_smoother_update,4.287
1657065604.132231,1.3_gnss_injection,0.325
1657065604.132231,1.2_update_frames_calculate_estimate,0.008
1657065604.132231,1.2_update_frames_state_copy,0.004
1657065604.132231,1.2_update_frames_sigma_p,0.099
1657065604.132231,1.2_update_frames,0.136
1657065604.110240,2.1_gnss_araim,0.757
1657065604.132231,2.3_dynamic_al,0.000
1657065604.132231,2.3_state_machine,0.000
1657065604.132231,2.3_integrity_total,0.814
1657065604.132231,1.2_odom_insert_frame,7.324
1657065604.232228,1.1_pointcloud_extract,0.011
1657065604.232228,1.1_cloud_preprocess,1.268
1657065604.232228,1.1_ros_callback_total,1.335
1657065604.232228,1.2_imu_integration,0.091
1657065604.232228,1.2_pointcloud_deskew,0.039
1657065604.232228,1.2_covariance_estimation,0.613
1657065604.232228,1.2_create_factors,0.018
1657065604.232228,1.2_smoother_update,4.908
1657065604.232228,1.3_gnss_injection,0.321
1657065604.232228,1.2_update_frames_calculate_estimate,0.009
1657065604.232228,1.2_update_frames_state_copy,0.004
1657065604.232228,1.2_update_frames_sigma_p,0.021
1657065604.232228,1.2_update_frames,0.056
1657065604.210255,2.1_gnss_araim,1.008
1657065604.232228,2.3_dynamic_al,0.000
1657065604.232228,2.3_state_machine,0.000
1657065604.232228,2.3_integrity_total,1.072
1657065604.232228,1.2_odom_insert_frame,7.756
1657065604.332235,1.1_pointcloud_extract,0.010
1657065604.332235,1.1_cloud_preprocess,1.274
1657065604.332235,1.1_ros_callback_total,1.355
1657065604.332235,1.2_imu_integration,0.082
1657065604.332235,1.2_pointcloud_deskew,0.050
1657065604.332235,1.2_covariance_estimation,0.415
1657065604.332235,1.2_create_factors,0.011
1657065604.332235,1.2_smoother_update,4.090
1657065604.332235,1.3_gnss_injection,0.250
1657065604.332235,1.2_update_frames_calculate_estimate,0.008
1657065604.332235,1.2_update_frames_state_copy,0.004
1657065604.332235,1.2_update_frames_sigma_p,0.018
1657065604.332235,1.2_update_frames,0.047
1657065604.310293,2.1_gnss_araim,0.696
1657065604.332235,2.3_dynamic_al,0.000
1657065604.332235,2.3_state_machine,0.000
1657065604.332235,2.3_integrity_total,0.749
1657065604.332235,1.2_odom_insert_frame,6.272
1657065604.432237,1.1_pointcloud_extract,0.011
1657065604.432237,1.1_cloud_preprocess,1.388
1657065604.432237,1.1_ros_callback_total,1.482
1657065604.432237,1.2_imu_integration,0.090
1657065604.432237,1.2_pointcloud_deskew,0.038
1657065604.432237,1.2_covariance_estimation,0.809
1657065604.432237,1.2_create_factors,0.018
1657065604.432237,1.2_smoother_update,2.607
1657065604.432237,1.3_gnss_injection,0.232
1657065604.432237,1.2_update_frames_calculate_estimate,0.009
1657065604.432237,1.2_update_frames_state_copy,0.004
1657065604.432237,1.2_update_frames_sigma_p,0.028
1657065604.432237,1.2_update_frames,0.056
1657065604.410242,2.1_gnss_araim,0.641
1657065604.432237,2.3_dynamic_al,0.000
1657065604.432237,2.3_state_machine,0.000
1657065604.432237,2.3_integrity_total,0.706
1657065604.432237,1.2_odom_insert_frame,5.230
1657065604.532244,1.1_pointcloud_extract,0.011
