record_type,path,bytes,type,mtime_utc,age_days,age_bucket,item_count
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260808-d890853-c4/runs/pre_mirror_reference/exports/test_planner_p1_fork_formal_p1_fork_fused_mirror_v1_4185984_1786206962281/planner_p0_occupancy_query_evidence.csv,117209256,.csv,2026-08-08T16:36:54Z,8.109171,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260808-6b395b0-c2/runs/pre_soft_enabled/exports/test_planner_p1_fork_formal_p1_soft_risk_island_v1_3881713_1786205046461/planner_p0_occupancy_query_evidence.csv,1236116488,.csv,2026-08-08T16:05:36Z,8.130902,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260808-6b395b0-c2/runs/pre_primary_2_enabled/exports/test_planner_p1_fork_formal_p1_fork_fused_v1_3766341_1786204495401/planner_p0_occupancy_query_evidence.csv,1245936068,.csv,2026-08-08T15:56:25Z,8.137286,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260808-6b395b0-c2/runs/pre_mirror_enabled/exports/test_planner_p1_fork_formal_p1_fork_fused_mirror_v1_3804220_1786204681811/planner_p0_occupancy_query_evidence.csv,1298358367,.csv,2026-08-08T15:59:32Z,8.135122,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260808-dc5f134-c5/runs/pre_null_enabled/exports/test_planner_p1_fork_formal_p1_fork_symmetric_null_v1_243816_1786208489706/planner_p0_occupancy_query_evidence.csv,183224708,.csv,2026-08-08T17:02:21Z,8.091488,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260808-dc5f134-c5/runs/pre_soft_reference/exports/test_planner_p1_fork_formal_p1_soft_risk_island_v1_262003_1786208585396/planner_p0_occupancy_query_evidence.csv,342974464,.csv,2026-08-08T17:03:57Z,8.090381,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260808-dc5f134-c5/runs/pre_primary_2_reference/exports/test_planner_p1_fork_formal_p1_fork_fused_v1_152855_1786208015480/planner_p0_occupancy_query_evidence.csv,213842882,.csv,2026-08-08T16:54:29Z,8.096954,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260808-dc5f134-c5/runs/pre_soft_enabled/exports/test_planner_p1_fork_formal_p1_soft_risk_island_v1_281198_1786208676712/planner_p0_occupancy_query_evidence.csv,173262366,.csv,2026-08-08T17:05:28Z,8.089329,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260808-dc5f134-c5/runs/pre_primary_1_reference/exports/test_planner_p1_fork_formal_p1_fork_fused_v1_115504_1786207833219/planner_p0_occupancy_query_evidence.csv,307248802,.csv,2026-08-08T16:51:23Z,8.099107,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260808-dc5f134-c5/runs/pre_primary_1_enabled/exports/test_planner_p1_fork_formal_p1_fork_fused_v1_134494_1786207924030/planner_p0_occupancy_query_evidence.csv,166034257,.csv,2026-08-08T16:52:57Z,8.098017,7-30d,1
